schön	beautiful
schon	already
über	over
für	for
grün	green
straße	street
groß	big
tschüss	bye
danke	thank you
bitte	please
hallo	hello
ja	yes
nein	no
ich	I
bin	is
du	you
bist	are
er	he
sie	she
wir	we
ihr	you (plural)
klein	small
müde	tired
brauche	need
eine	a
Pause	break
Guten	good
Tag	day
jeden	every
Abend	evening
gehe	go
aber	but
auch	also
heute	today
arbeiten	work
hast	have (you)
habe	have (I)
Spaß	fun
gestern	yesterday
früh	early
und	and
Kuchen	cake
mit	with
Überstunden	overtime
nicht	not
sehr	very
toll	great
Möchtest	would you like
essen	eat
hund	dog
U-Bahn	subway
das	that
die	who
der	who
was	what
zu	closed
ein	a
in	on {prp}
mir	me
wie	as
den	who
mich	me
auf	on {prp}
dass	that
so	in this way
hier	here
haben	credit side
von	from (express origin)
wenn	if
dich	you
an	on {prp}
noch	to have yet to …(in positive assertions)
nur	other than (in negative sentences)
da	when (point in time)
dir	you
sich	each of two or more
uns	ourselves
dem	the
gut doctoral examination
als	when 
sein	to give sth.
mal	time
jetzt	now
ihn	he (him)
dann	then (temporal)
aus	out of bounds /ob/ (golf)
meine	mine
um	round
mein	my
doch	but
alles	the lot [coll.]
keine	no (not one)
oder	waving polyp
nach	on {prp}
nichts	emptiness
man	one
werden	development
ihnen	you (polite form)
wo	when
etwas	something
mehr	increase (in)
bei	address
also	so
immer	always
warum	why
vor	shy {adj}
los	batch (manufacturing unit)
wieder	afresh
sagen	legend
machen	tender [Br.]
alle	all
denn	so (prepositive)
mann	husband
tun	doing
ihm	he (him)
zum	to (expressing directional movement)
gehen	walking
sehen	eyesight
vielleicht	perhaps
wer	who
ihre	yours
diese	such
euch	you
einer	unit
gibt	to give {gave
okay	okay
wissen	knowledge {no pl}
deine	yours
soll	target
nie	hardly ever
wirklich	genuinely
kein	no 
viel	much
weg	errand
tut	to do sth.
des	D
einfach	low-level
leben	life
zeit	time of (the) day
weil	because
kommen	orgasm
dein	yours
kommt	to happen to sb.
wollen	volition
damit	thereby
ganz	all of {+ singular}
ok	all right
sicher	certain
gesagt	to say sth. {said
frau	woman
nun	now
bis	pending (an event)
leid	woe
na	no
macht	sway [formal]
dieser	such
lassen	to leave {left
meinen	to think
gott	God
seine	his
zwei	a brace of (a pair)
genau	particular
